BN/Registration Number,Designation code,Category code,Category,Sub-category code,Sub-Category,Legal name,Account name,Registration date,Language,Mailing address,City,Province,Postal code,Country,Contact Phone,Contact Email,Contact URL
118978865RR0001,C,1,Organizations Relieving Poverty,99,Other,KELOWNA RIGHT TO LIFE SOCIETY,KELOWNA RIGHT TO LIFE SOCIETY,1981-10-08 0:00,1,212 1821 HARVEY AVE,KELOWNA,BC,V1Y6G4,CA,,,
118979814RR0001,A,15,Foundations Advancing Education,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",Chan Kent Foundation,Chan Kent Foundation,1968-01-01 0:00,1,608-1331 HOMER ST,VANCOUVER,BC,V6B5M5,CA,(604)681-2887,CABERNETSH@GMAIL.COM,
118980242RR0001,C,200,Public Amenities,99,Other,KETTLE RIVER MUSEUM,KETTLE RIVER MUSEUM,1976-10-01 0:00,1,BOX 149,MIDWAY,BC,V0H1M0,CA,(250)449-2614,KETTLERIVERMUSEUM@SHAW.CA,KETTLERIVERMUSEUM.ORG
118980341RR0001,B,210,Foundations,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",KEYSTONE OF LIFE FOUNDATION,KEYSTONE OF LIFE FOUNDATION,1975-10-28 0:00,1,6470 CABELDU CRESCENT,DELTA,BC,V4E1R3,CA,(604)572-1811,DN1940@TELUS.NET,
118981026RR0001,C,200,Public Amenities,9,Providing low-cost housing,KIMBERLEY DISTRICT HERITAGE SOCIETY,KIMBERLEY DISTRICT HERITAGE SOCIETY,1978-12-28 0:00,1,105 SPOKANE ST,KIMBERLEY,BC,V1A2E5,CA,(250)427-7510,KDHS@SHAWBIZ.CA,
118981067RR0001,C,1,Organizations Relieving Poverty,99,Other,KIMBERLEY HELPING HANDS FOOD BANK SOCIETY,KIMBERLEY HELPING HANDS FOOD BANK SOCIETY,1985-10-18 0:00,1,340 LEADENHALL STREET,KIMBERLEY,BC,V1A2B1,CA,(778)481-0084,CLIZ.CONNER@GMAIL.COM,
118982867RR0001,C,1,Organizations Relieving Poverty,99,Other,KINVILLAGE ASSOCIATION,KINVILLAGE ASSOCIATION,1981-04-01 0:00,1,5410 10TH AVE,DELTA,BC,V4M3X8,CA,(604)943-0155,,KINVILLAGE.ORG
118983626RR0001,C,200,Public Amenities,99,Other,KITIMAT MUSEUM & ARCHIVES,KITIMAT MUSEUM & ARCHIVES,1979-01-01 0:00,1,293 CITY CENTRE,KITIMAT,BC,V8C1T6,CA,(250)632-8950,INFO@KITIMATMUSEUM.CA,WWW.KITIMATMUSEUM.CA
118983634RR0001,C,100,Core Health Care,99,Other,KITIMAT COMMUNITY DEVELOPMENT CENTRE SOCIETY,KITIMAT COMMUNITY DEVELOPMENT CENTRE SOCIETY,1975-01-01 0:00,1,1515 KINGFISHER AVE,KITIMAT,BC,V8C1S5,CA,(250)632-3144,LBARNARD@KITIMATCDC.CA,
118983725RR0001,C,200,Public Amenities,99,Other,KITIMAT PUBLIC LIBRARY & ASSOCIATION,KITIMAT PUBLIC LIBRARY ASSOCIATION,1983-01-01 0:00,1,940 WAKASHAN AVENUE,KITIMAT,BC,V8C2G3,CA,(250)632-8985,,
118984525RR0001,C,1,Organizations Relieving Poverty,99,Other,KNIGHTS OF COLUMBUS COUNCIL #5468 CHRISTMAS HAMPER FUND,KNIGHTS OF COLUMBUS COUNCIL #5468 CHRISTMAS HAMPER FUND,1981-04-15 0:00,1,34 ALDER ST S,CAMPBELL RIVER,BC,V9W2M8,CA,(250)923-4692,ALINJIN@SHAW.CA,
118986785RR0001,C,200,Public Amenities,9,Providing low-cost housing,KOKSILAH SCHOOL HISTORICAL SOCIETY,KOKSILAH SCHOOL HISTORICAL SOCIETY,1987-03-01 0:00,1,5213 TRANS CANADA HIGHWAY,KOKSILAH,BC,V0R2C0,CA,(250)746-1084,SHELLEYSHILLITO@SHAW.CA,
118986850RR0001,C,1,Organizations Relieving Poverty,99,Other,KOLUMBIA INN DAYCARE SOCIETY (K.I.D.S.),KOLUMBIA INN DAYCARE SOCIETY (K.I.D.S.),1985-10-16 0:00,1,236 ROSS DRIVE,NEW WESTMINSTER,BC,V3L0B2,CA,(604)524-0522,KIDSCHILDCARE@TELUS.NET,
118986959RR0001,C,200,Public Amenities,9,Providing low-cost housing,KOOTENAY LAKE HISTORICAL SOCIETY,KOOTENAY LAKE HISTORICAL SOCIETY,1985-01-01 0:00,1,"324 FRONT STREET, BOX 537",KASLO,BC,V0G1M0,CA,(250)353-2525,ACCTS.KLHS@GMAIL.COM,WWW.KLHS.BC.CA
118987007RR0001,C,100,Core Health Care,99,Other,TRAIL ASSOCIATION FOR COMMUNITY LIVING,TRAIL ASSOCIATION FOR COMMUNITY LIVING,1967-01-01 0:00,1,PO BOX 131,TRAIL,BC,V1R4L3,CA,,,
118987478RR0001,C,1,Organizations Relieving Poverty,99,Other,'KSAN HOUSE SOCIETY,KSAN HOUSE SOCIETY,1980-04-01 0:00,1,4838 LAZELLE AVE,TERRACE,BC,V8G1T4,CA,(250)635-2373,,
118990126RR0001,C,110,Supportive Health Care,99,Other,ST. BARTHOLOMEW'S HEALTH CARE AUXILIARY,ST. BARTHOLOMEW'S HEALTH CARE AUXILIARY,1970-01-01 0:00,1,BOX 697,LYTTON,BC,V0K1Z0,CA,(250)455-2469,jjosephine52@gmail.com,
118990373RR0001,C,160,Community Resource,99,Other,LADYSMITH MARITIME SOCIETY,LADYSMITH MARITIME SOCIETY,1986-10-01 0:00,1,PO BOX 1030 STN MAIN,LADYSMITH,BC,V9G1A7,CA,(250)245-0109,ADMIN@LMSMARINA.CA,LMSMARINA.CA
119002459RR0001,C,200,Public Amenities,99,Other,LAKE COUNTRY HERITAGE AND CULTURAL SOCIETY,LAKE COUNTRY HERITAGE AND CULTURAL SOCIETY,1985-02-01 0:00,1,11255 OKANAGAN CENTRE RD. W.,LAKE COUNTRY,BC,V4V2J7,CA,(250)766-0111,lcmuseum@shaw.ca,WWW.LAKECOUNTRYMUSEUM.COM
119002467RR0001,C,1,Organizations Relieving Poverty,99,Other,LAKE COUNTRY FOOD ASSISTANCE SOCIETY,LAKE COUNTRY FOOD ASSISTANCE SOCIETY,1988-11-25 0:00,1,"PO BOX 41013, RPO SOUTH",WINFIELD,BC,V4V1Z7,CA,(250)766-0125,,
119005221RR0001,C,100,Core Health Care,99,Other,INCLUSION LANGLEY SOCIETY,Inclusion Langley Society,1979-01-01 0:00,1,23535 44 AVE,LANGLEY,BC,V2Z2V2,CA,,,
119005304RR0001,C,1,Organizations Relieving Poverty,99,Other,LANGLEY COMMUNITY SERVICES SOCIETY,LANGLEY COMMUNITY SERVICES SOCIETY,1972-01-01 0:00,1,5339 207TH ST,LANGLEY,BC,V3A2E6,CA,(604)533-7989,INFO@LCSS.CA,WWW.LCSS.CA
119005312RR0001,C,200,Public Amenities,99,Other,THE LANGLEY FIELD NATURALISTS SOCIETY,LANGLEY FIELD NATURALISTS SOCIETY,1985-06-01 0:00,1,315 - 5677 208 ST,LANGLEY,BC,V3A8J5,CA,(604)427-4499,CAPORTER@SHAW.CA,LANGLEYFIELDNATURALISTS.ORG
119005353RR0001,C,100,Core Health Care,99,Other,LANGLEY HOSPICE SOCIETY,LANGLEY HOSPICE SOCIETY,1983-11-01 0:00,1,20660 48 AVE,LANGLEY,BC,V3A3L6,CA,(604)530-1115,,WWW.LANGLEYHOSPICE.COM
119006971RR0001,C,200,Public Amenities,9,Providing low-cost housing,LARDEAU VALLEY HISTORICAL SOCIETY,LARDEAU HISTORICAL SOCIETY,1979-04-07 0:00,1,BOX 74,MEADOW CREEK,BC,V0G1N0,CA,(250)276-4441,MUSEUM.LVHS@GMAIL.COM,
119007045RR0001,C,160,Community Resource,99,Other,LAREN SOCIETY: JOURNEY FROM INSIDE OUT,LAREN SOCIETY: JOURNEY FROM INSIDE OUT,1979-04-01 0:00,1,138 DALLAS RD.,VICTORIA,BC,V8V1A3,CA,(250)381-7949,,LAREN.CA
119008225RR0001,C,160,Community Resource,99,Other,LASQUETI COMMUNITY ASSOCIATION,LASQUETI COMMUNITY ASSOCIATION,1978-06-08 0:00,1,GRAND ROAD,LASQUETI ISLAND,BC,V0R2J0,CA,(347)674-9945,MARKYOUNG@LASQUETI.CA,
119020527RR0001,C,160,Community Resource,99,Other,LINWOOD FOUNDATION,LINWOOD FOUNDATION,1977-01-25 0:00,1,603 - 510 MARSETT PL,VICTORIA,BC,V8Z7J1,CA,(250)479-3255,DEWALDIE@SHAW.CA,
119020758RR0001,A,210,Foundations,2,Humanitarian assistance (outside of Canada),LIONS CLUB OF VANCOUVER CHINATOWN (1982),"LIONS CLUB OF VANCOUVER CHINATOWN, 1982",1983-01-01 0:00,1,830 CAMPBELL AVE,VANCOUVER,BC,V6A3V2,CA,(604)874-2828,TENNYSONCHOO@GMAIL.COM,
119020857RR0001,C,1,Organizations Relieving Poverty,99,Other,VANCOUVER JEWISH BUILDING SOCIETY,Vancouver Jewish Building Society,1988-01-22 0:00,1,500 - 1055 BROADWAY W,VANCOUVER,BC,V6H1E2,CA,,,
119020907RR0001,A,210,Foundations,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",LIONS GATE HOSPITAL FOUNDATION,LIONS GATE HOSPITAL FOUNDATION,1981-07-13 0:00,1,231 EAST 15TH STREET,NORTH VANCOUVER,BC,V7L2L7,CA,(604)984-5785,INFO@LGHFOUNDATION.COM,WWW.LGHFOUNDATION.COM
119020915RR0001,C,100,Core Health Care,99,Other,NORTH SHORE HEALTH RESEARCH FOUNDATION,NORTH SHORE HEALTH RESEARCH FOUNDATION,1979-01-01 0:00,1,P.O. BOX 86639,NORTH VANCOUVER,BC,V7L4L2,CA,,,
119025179RR0001,C,1,Organizations Relieving Poverty,99,Other,THE BRITISH COLUMBIA PRADER-WILLI SYNDROME ASSOCIATION,THE BRITISH COLUMBIA PRADER-WILLI SYNDROME ASSOCIATION,1986-03-12 0:00,1,2133 CHILCOTIN CRES,KELOWNA,BC,V1V2N9,CA,(250)575-8244,MAX1ISA2@GMAIL.COM,WWW.BCPWSA.COM
119025195RR0001,C,110,Supportive Health Care,99,Other,RESIDENCES FOR INDEPENDENT LIVING SOCIETY,RESIDENCES FOR INDEPENDENT LIVING SOCIETY,1969-09-09 0:00,1,1167 FORGE WALK,VANCOUVER,BC,V6H3R1,CA,,,
119025856RR0001,A,210,Foundations,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",LUNG FOUNDATION OF BRITISH COLUMBIA,LUNG FOUNDATION OF BRITISH COLUMBIA,1979-09-25 0:00,1,2675 OAK STREET,VANCOUVER,BC,V6H2K2,CA,,,
119026243RR0001,C,1,Organizations Relieving Poverty,99,Other,LUTHERAN SENIOR CITIZENS HOUSING SOCIETY,LUTHERAN SENIOR CITIZENS HOUSING SOCIETY,1970-01-01 0:00,1,5939-180 ST,SURREY,BC,V3S4L2,CA,(604)576-2891,EHASTINGS@ZIONPARKMANOR.COM,
119027159RR0001,C,100,Core Health Care,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",MACKENZIE COUNSELLING SERVICES SOCIETY,MACKENZIE COUNSELLING SERVICES SOCIETY,1977-06-14 0:00,1,BOX 790,MACKENZIE,BC,V0J2C0,CA,(250)997-6595,reception@mackenziecounselling.ca,www://mackenziecounselling.ca
119028272RR0001,C,200,Public Amenities,9,Providing low-cost housing,HERITAGE HALL PRESERVATION SOCIETY,HERITAGE HALL PRESERVATION SOCIETY,1982-03-29 0:00,1,"HERITAGE HALL, 3102 MAIN ST MEZZANINE",VANCOUVER,BC,V5T3G7,CA,(604)879-4816,HERITAGE@HERITAGEHALL.BC.CA,WWW.HERITAGEHALL.BC.CA
119032019RR0001,C,160,Community Resource,99,Other,RIDGE MEADOWS HOSPICE SOCIETY,RIDGE MEADOWS HOSPICE SOCIETY,1987-01-27 0:00,1,102 - 22320 119 AVE,MAPLE RIDGE,BC,V2X2Z3,CA,(604)463-7722,INFO@RIDGEMEADOWSHOSPICESOCIETY.COM,WWW.RIDGEMEADOWSHOSPICESOCIETY.COM
119032035RR0001,A,210,Foundations,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",RIDGE MEADOWS HOSPITAL FOUNDATION,RIDGE MEADOWS HOSPITAL FOUNDATION,1985-04-01 0:00,1,"BOX 5000, 11666 LAITY STREET",MAPLE RIDGE,BC,V2X7G5,CA,(604)466-6958,LAURA.BUTLER@FRASERHEALTH.CA,www.rmhfoundation.com
119032068RR0001,C,160,Community Resource,99,Other,RIDGE MEADOWS SEARCH AND RESCUE SOCIETY,RIDGE MEADOWS SEARCH AND RESCUE SOCIETY,1987-09-01 0:00,1,23598 105TH AVE,MAPLE RIDGE,BC,V2W1B8,CA,(604)463-4891,,RMSAR.BC.CA
119033777RR0001,C,1,Organizations Relieving Poverty,99,Other,MARPOLE OAKRIDGE DAYCARE SOCIETY,MARPOLE OAKRIDGE DAYCARE SOCIETY,1988-01-01 0:00,1,990 W. 59TH AVE,VANCOUVER,BC,V6P1X9,CA,(604)325-5516,MODS@TELUS.NET,MARPOLEOAKRIDGEDAYCARE.COM
119034064RR0001,B,210,Foundations,2,Humanitarian assistance (outside of Canada),MARTHA LOU HENLEY CHARITABLE FOUNDATION,MARTHA LOU HENLEY CHARITABLE FOUNDATION,1987-03-19 0:00,1,"PO BOX 10085, PACIFIC CENTRE",VANCOUVER,BC,V7Y1B6,CA,(604)261-6233,MLHENLEY@SHAW.CA,WWW.LEGACYLAWYERS.COM
119034585RR0001,C,1,Organizations Relieving Poverty,99,Other,CHARLES MASSEY EMPLOYEES AID FUND,CHARLES MASSEY EMPLOYEES AID FUND,1977-01-01 0:00,1,"TD PRIVATE CLIENT SERVICES, PO BOX 10085",VANCOUVER,BC,V7Y1B6,CA,,,
119035111RR0001,C,100,Core Health Care,99,Other,MAYNE ISLAND HEALTH CENTRE ASSOCIATION,MAYNE ISLAND HEALTH CENTRE ASSOCIATION,1983-04-16 0:00,1,100-526 FELIX JACK RD,MAYNE ISLAND,BC,V0N2J2,CA,(250)539-2238,LINDSAYALLAN100@GMAIL.COM,MAYNEISLANDHEALTH.CA/
119035319RR0001,C,200,Public Amenities,99,Other,MCBRIDE PUBLIC LIBRARY ASSOCIATION,MCBRIDE PUBLIC LIBRARY ASSOCIATION,1982-01-01 0:00,1,PO BOX 489,MCBRIDE,BC,V0J2E0,CA,(250)569-2411,LIBRARY@MCBRIDEBC.ORG,MCBRIDE.BC.LIBRARIES.COOP
119035939RR0001,C,160,Community Resource,99,Other,MCLURE FIRE FIGHTERS & RECREATION ASSOCIATION,MCLURE FIRE FIGHTERS & RECREATION ASSOCIATION,1985-04-18 0:00,1,1647 VALLEYVIEW DR,KAMLOOPS,BC,V2C4B6,CA,,,
119038875RR0001,C,1,Organizations Relieving Poverty,99,Other,MERRITT SENIOR CITIZENS ASSOCIATION,MERRITT SENIOR CITIZENS ASSOCIATION,1973-01-01 0:00,1,BOX 2935,MERRITT,BC,V1K1B8,CA,,,
119039220RR0001,C,200,Public Amenities,99,Other,METCHOSIN MUSEUM SOCIETY,METCHOSIN SCHOOL MUSEUM SOCIETY,1976-11-08 0:00,1,4475 HAPPY VALLEY RD.,VICTORIA,BC,V9C3Z3,CA,(250)478-0765,,
119040624RR0001,B,210,Foundations,2,Humanitarian assistance (outside of Canada),MILAN & MAUREEN ILICH FOUNDATION,MILAN & MAUREEN ILICH FOUNDATION,1977-07-01 0:00,1,1212 - 450 MARINE DR SW,VANCOUVER,BC,V5X0C3,CA,(604)327-8760,ilichfoundation@gmail.com,
119042745RR0001,C,200,Public Amenities,99,Other,MISSION DISTRICT HISTORICAL SOCIETY,MISSION DISTRICT HISTORICAL SOCIETY,1977-03-01 0:00,1,PO BOX 3522 STN MAIN,MISSION,BC,V2V4L1,CA,,,
119042810RR0001,C,160,Community Resource,99,Other,Mission Community Foundation,Mission Community Foundation,1987-06-26 0:00,1,PO BOX 3427,MISSION,BC,V2V4J5,CA,(800)773-7587,MFOUND@TELUS.NET,WWW.MISSIONCOMMUNITYFOUNDATION.ORG
119042885RR0001,A,110,Supportive Health Care,99,Other,MISSION HOSPITAL AUXILIARY MEMORIAL FUND,MISSION HOSPITAL AUXILIARY MEMORIAL FUND,1969-01-01 0:00,1,38-4001 OLD CLAYBURN ROAD,ABBOTSFORD,BC,V3G1C5,CA,(604)852-8501,cynthiabutcher@shaw.ca,
119043461RR0001,C,1,Organizations Relieving Poverty,99,Other,SARA FOR WOMEN SOCIETY,Sara for Women Society,1983-04-01 0:00,1,P.O. BOX 3044,MISSION,BC,V2V4J3,CA,(604)820-8455,ADMIN@SARAFORWOMEN.CA,SARAFORWOMEN.CA
119046399RR0001,C,200,Public Amenities,9,Providing low-cost housing,MORRELL SANCTUARY SOCIETY FOR ENVIRONMENTAL EDUCATION,MORRELL SANCTUARY SOCIETY FOR ENVIRONMENTAL EDUCATION,1985-01-01 0:00,1,787 NANAIMO LAKES RD,NANAIMO,BC,V9R3C2,CA,(250)753-5811,MORRELL@SHAWBIZ.CA,MORRELL//NATURESANCTUARY.CA
119047744RR0001,C,1,Organizations Relieving Poverty,99,Other,MOUNT HOPE SENIOR CITIZENS HOUSING SOCIETY,MOUNT HOPE SENIOR CITIZENS HOUSING SOCIETY,1967-01-01 0:00,1,BOX 881,HOPE,BC,V0X1L0,CA,(604)869-9805,PARKSTREET@TELUS.NET,
119048205RR0001,C,100,Core Health Care,6,Operating a shelter,MOUNT ST MARY HOSPITAL,THE MARIE ESTHER SOCIETY,1967-01-01 0:00,1,861 FAIRFIELD RD,VICTORIA,BC,V8V5A9,CA,(250)480-3102,JROPCHAN@MOUNTSTMARY.CA,WWW.MOUNTSTMARY.CA
119048262RR0001,C,1,Organizations Relieving Poverty,99,Other,NORTH ISLAND COMMUNITY SOCIETY,NORTH ISLAND COMMUNITY SOCIETY,1980-04-01 0:00,1,375 SHELLEY CRESCENT,PORT MCNEILL,BC,V0N2R0,CA,(250)956-3134,NICSBC@TELUS.NET,
119048270RR0001,C,1,Organizations Relieving Poverty,99,Other,MOUNT WASHINGTON SKI PATROL ASSOCIATION,MOUNT WASHINGTON SKI PATROL ASSOCIATION,1980-10-29 0:00,1,PO BOX 3131,COURTENAY,BC,V9N5N4,CA,(250)483-6682,TREASURER@MWSKIPATROL.COM,WWW.MWSKIPATROL.COM
119048874RR0001,C,100,Core Health Care,99,Other,MSA SOCIETY FOR COMMUNITY LIVING,MSA SOCIETY FOR COMMUNITY LIVING,1967-01-01 0:00,1,2391 CRESCENT WAY,ABBOTSFORD,BC,V2S3M1,CA,(604)852-6800,,
119050425RR0001,C,210,Foundations,1,"Facilitator organization supporting, improving, and enhancing the work of groups involved in the relief of poverty",ARROW LAKES HOSPITAL FOUNDATION,ARROW LAKES HOSPITAL FOUNDATION,1983-02-01 0:00,1,BOX 284,NAKUSP,BC,V0G1R0,CA,(250)265-4912,,
119050441RR0001,C,200,Public Amenities,99,Other,NAKUSP PUBLIC LIBRARY ASSOCIATION,NAKUSP PUBLIC LIBRARY ASSOCIATION,1980-01-01 0:00,1,BOX 297,NAKUSP,BC,V0G1R0,CA,(250)265-3363,NAKUSPLIBRARY@NETIDEA,NAKUSP.BC.LIBRARIES.COOP
119050672RR0001,A,100,Core Health Care,99,Other,NANAIMO & DISTRICT HOSPITAL FOUNDATION,NANAIMO & DISTRICT HOSPITAL FOUNDATION,1978-02-01 0:00,1,1200 DUFFERIN CRES,NANAIMO,BC,V9S2B7,CA,(250)755-7690,SUSAN@NANAIMOHOSPITALFOUNDATION.COM,WWW.NANAIMOHOSPITALFOUNDATION.COM
119050755RR0001,C,100,Core Health Care,99,Other,NANAIMO CHILD DEVELOPMENT CENTRE SOCIETY,NANAIMO CHILD DEVELOPMENT CENTRE SOCIETY,1967-01-01 0:00,1,1135 NELSON ST,NANAIMO,BC,V9S2K4,CA,(250)753-0251,,
119050862RR0001,C,160,Community Resource,99,Other,NANAIMO VOLUNTEER AND INFORMATION CENTRE SOCIETY,NANAIMO VOLUNTEER AND INFORMATION CENTRE SOCIETY,1980-04-01 0:00,1,E - 3148 BARONS RD,NANAIMO,BC,V9T4B5,CA,(250)758-7121,MDRISCOLL.VN@SHAW.CA,WWW.VOLUNTEERNANAIMO.CA
119050870RR0001,C,1,Organizations Relieving Poverty,99,Other,NANAIMO YOUTH SERVICES ASSOCIATION,NANAIMO YOUTH SERVICES ASSOCIATION,1970-07-21 0:00,1,290 BASTION STREET,NANAIMO,BC,V9R3A4,CA,(250)754-1989,,WWW.NYSA.BC.CA
119051894RR0001,C,200,Public Amenities,99,Other,NATIONAL RAILWAY HISTORICAL SOCIETY - BRITISH COLUMBIA CHAPT,NATIONAL RAILWAY HISTORICAL SOCIETY - BRITISH COLUMBIA CHAPTER,1987-04-01 0:00,1,"P.O. BOX 33763, STATION D",VANCOUVER,BC,V6J4L6,CA,(250)378-6109,BARRIESANFORD@GMAIL.COM,WWW.SIDENGO.COM/NRHS BC
119053288RR0001,C,160,Community Resource,99,Other,NELSON CARES SOCIETY,NELSON CARES SOCIETY,1984-04-01 0:00,1,100 - 205 HALL ST,NELSON,BC,V1L0B4,CA,(250)352-6011,FINANCE@NELSONCARES.CA,WWW.NELSONCARES.CA
119053296RR0001,C,100,Core Health Care,9,Providing low-cost housing,NELSON AND DISTRICT HOSPICE SOCIETY,NELSON & DISTRICT HOSPICE SOCIETY,1987-07-29 0:00,1,102B - 518 LAKE ST,NELSON,BC,V1L4C6,CA,(250)352-2337,NELSONHOSPICE@NETIDEA.COM,WWW.NELSONHOSPICE.ORG/
119055432RR0001,C,1,Organizations Relieving Poverty,99,Other,NEW HOPE THERAPEUTIC SOCIETY,NEW HOPE THERAPEUTIC SOCIETY,1981-08-20 0:00,1,204-13911 70TH AVE,SURREY,BC,V3W6B4,CA,(778)862-2716,NEWHOPETS@HOTMAIL.COM,WWW.NEWHOPESOCIETY.ORG
119056992RR0001,C,160,Community Resource,99,Other,NEW WESTMINSTER HYACK FESTIVAL ASSOCIATION,NEW WESTMINSTER HYACK FESTIVAL ASSOCIATION,1975-12-15 0:00,1,204-6TH STREET,NEW WESTMINSTER,BC,V3L3A1,CA,(604)434-6620,GLORIA@MUNROCGA.COM,WWW.HYACK.BC.CA
119057032RR0001,C,1,Organizations Relieving Poverty,99,Other,NEW WESTMINSTER VICTIM ASSISTANCE ASSOCIATION,NEW WESTMINSTER VICTIM ASSISTANCE ASSOCIATION,1984-04-01 0:00,1,555 COLUMBIA ST,NEW WESTMINSTER,BC,V3L1B2,CA,(604)529-2433,SGULLIVER@NWPOLICE.ORG,
119059996RR0001,C,15,Foundations Advancing Education,2,Humanitarian assistance (outside of Canada),NORTHERN LIGHTS COLLEGE FOUNDATION,NORTHERN LIGHTS COLLEGE FOUNDATION,1985-01-23 0:00,1,11401-8TH ST,DAWSON CREEK,BC,V1G4G2,CA,(250)784-7613,dkane@nlc.bc.ca,NLC.BC.CA
119060911RR0001,A,210,Foundations,2,Humanitarian assistance (outside of Canada),UNITED WAY OF NORTH OKANAGAN COLUMBIA SHUSWAP,UNITED WAY OF NORTH OKANAGAN COLUMBIA SHUSWAP,1981-12-27 0:00,1,4543 CANADA WAY,BURNABY,BC,V5G4T4,CA,(250)549-1346,UNITEDWAYNOCS@SHAW.CA,WWW.UNITEDWAYNOCS.COM
119060960RR0001,C,1,Organizations Relieving Poverty,99,Other,NORTH PEACE SENIORS HOUSING SOCIETY,NORTH PEACE SENIORS HOUSING SOCIETY,1975-08-15 0:00,1,101 9816-108TH AVE,FORT ST JOHN,BC,V1J5S4,CA,(250)785-8983,NPSHS@FSJMAIL.NET,NPSHS@SOLARWIND.COM
119060986RR0001,C,200,Public Amenities,99,Other,NORTH PEACE HISTORICAL SOCIETY,NORTH PEACE HISTORICAL SOCIETY,1981-01-01 0:00,1,9323 - 100TH ST,FORT ST JOHN,BC,V1J4N4,CA,(250)787-0430,FSJNPMUSEUM@FSJMAIL.COM,WWW.FSJMUSEUM.COM
119061240RR0001,C,160,Community Resource,99,Other,FAMILY SERVICES OF THE NORTH SHORE,FAMILY SERVICES OF THE NORTH SHORE,1978-04-04 0:00,1,203 - 1111 LONSDALE AVE,NORTH VANCOUVER,BC,V7M2H4,CA,(604)988-5281,JSFRENCH@FAMILYSERVICES.BC.CA,WWW.FAMILYSERVICES.BC.CA
119061273RR0001,C,160,Community Resource,99,Other,NORTH SHORE COMMUNITY RESOURCES SOCIETY,NORTH SHORE COMMUNITY RESOURCES SOCIETY,1979-04-23 0:00,1,"STE 201 - 935 MARINE DR, CAPILANO MALL",NORTH VANCOUVER,BC,V7P1S3,CA,(604)985-7138,,WWW.NSCR.BC.CA
119061307RR0001,C,120,Protective Health Care,6,Operating a shelter,NORTH SHORE LIFEBOAT SOCIETY,NORTH SHORE LIFEBOAT SOCIETY,1987-04-14 0:00,1,PO BOX 37146 RPO LONSDALE,NORTH VANCOUVER,BC,V7N4M4,CA,(778)929-5513,MZHANEL@RCMSAR2.COM,WWW.NORTHSHORELIFEBOAT.CA
119061315RR0001,C,1,Organizations Relieving Poverty,99,Other,NORTH SHORE MEALS ON WHEELS SOCIETY,NORTH SHORE MEALS ON WHEELS SOCIETY,1978-04-01 0:00,1,1525 TAYLOR WAY,WEST VANCOUVER,BC,V7S1N5,CA,(604)922-3414,NORTHSHOREMOW@TELUS.NET,NORTHSHOREMEALSONWHEELS.ORG
119061323RR0001,C,1,Organizations Relieving Poverty,99,Other,NORTH SHORE NEIGHBOURHOOD HOUSE,NORTH SHORE NEIGHBOURHOOD HOUSE,1967-01-01 0:00,1,225 E 2ND ST,NORTH VANCOUVER,BC,V7L1C4,CA,(604)987-8138,RHARVEY@NSNH.BC.CA,WWW.NSNH.BC.CA
119061372RR0001,C,160,Community Resource,99,Other,NORTH SHORE RESCUE TEAM SOCIETY,NORTH SHORE RESCUE TEAM SOCIETY,1980-07-01 0:00,1,147 14TH ST E,NORTH VANCOUVER,BC,V7L2N4,CA,(778)338-6300,NSR@NORTHSHORERESCUE.COM,WWW.NORTHSHORERESCUE.COM
119061448RR0001,C,200,Public Amenities,9,Providing low-cost housing,NORTH SHUSWAP HISTORICAL SOCIETY,NORTH SHUSWAP HISTORICAL SOCIETY,1992-02-01 0:00,1,5505 SQUILAX ANGLEMONT RD.,CELISTA,BC,V0E1M6,CA,(250)955-6431,GREENOUGH@AIRSPEEDWIRELESS.CA,NORTHSHUSWAPHISTORY.CA
119061943RR0001,C,200,Public Amenities,10,Providing meals (including breakfast programs),NORTH VANCOUVER CITY LIBRARY,NORTH VANCOUVER CITY LIBRARY,1985-01-01 0:00,1,120 WEST 14TH STREET,NORTH VANCOUVER,BC,V7M1N9,CA,(604)998-3489,LWRIGHT@CNV.ORG,WWW.CNV.ORG
119061976RR0001,A,210,Foundations,2,Humanitarian assistance (outside of Canada),NORTH VANCOUVER KIWANIS FOUNDATION,NORTH VANCOUVER KIWANIS FOUNDATION,1976-07-29 0:00,1,170 2ND ST W,NORTH VANCOUVER,BC,V7M1C4,CA,,,
119063980RR0001,C,120,Protective Health Care,6,Operating a shelter,OAK BAY SEA RESCUE SOCIETY,OAK BAY SEA RESCUE SOCIETY,1983-03-01 0:00,1,BOX 5624 LCD9,VICTORIA,BC,V8R6S4,CA,(250)592-5532,PRESIDENT@OBSR.CA,OBSR.CA
119064814RR0001,C,160,Community Resource,99,Other,OCEAN PARK COMMUNITY ASSOCIATION,OCEAN PARK COMMUNITY ASSOCIATION,1976-11-01 0:00,1,1577-128TH ST,SURREY,BC,V4A3V1,CA,(604)531-0529,,WWW.OCEANPARKCA.CA
